AÑO,MES,CODIGO_SECTOR_N1,PROVINCIA,CANTON,VENTAS_NETAS_TARIFA_GRAVADA,VENTAS_NETAS_TARIFA_0,VENTAS_NETAS_TARIFA_VARIABLE,VENTAS_NETAS_TARIFA_5,EXPORTACIONES,COMPRAS_NETAS_TARIFA_GRAVADA,COMPRAS_NETAS_TARIFA_0,IMPORTACIONES,COMPRAS_RISE,TOTAL_VENTAS,TOTAL_COMPRAS
2025,1,9,PICHINCHA,QUITO,"36631,46",0,0,0,0,"55312,93","994,98",0,"1656,58","36631,46","57964,49"
2025,1,A,AZUAY,SEVILLA DE ORO,0,0,0,0,0,"30,54","23143,69",0,0,0,"23174,23"
2025,1,A,ESMERALDAS,LA CONCORDIA,"3615,33",0,0,0,0,"398,57","12,1",0,0,"3615,33","410,67"
2025,1,A,ORELLANA,AGUARICO,"0,01",0,0,0,0,"38,75",0,0,0,"0,01","38,75"
2025,1,B,AZUAY,GIRON,"15544,4",0,0,"15544,4",0,"5855,7","2035,9",0,0,"15544,4","7891,6"
2025,1,B,AZUAY,GUALACEO,"121473,33",0,0,"121473,33",0,"34329,93","8585,41",0,"63,05","121473,33","42978,39"
2025,1,B,AZUAY,PAUTE,"40134,44",0,0,"40134,44",0,"6296,54","955,13",0,0,"40134,44","7251,67"
2025,1,B,AZUAY,SIGSIG,2000,0,0,0,0,3290,0,0,0,2000,3290
2025,1,B,BOLIVAR,SAN MIGUEL,"84481,55",0,0,"84481,55",0,"3180,41",0,0,0,"84481,55","3180,41"
2025,1,B,CAÑAR,AZOGUES,"345970,9",0,0,"332851,51",0,"111355,68","38527,1",0,"5248,4","345970,9","155131,18"
2025,1,B,CAÑAR,EL TAMBO,"1723,85",0,0,0,0,"5385,26",0,0,0,"1723,85","5385,26"
2025,1,B,CARCHI,ESPEJO,"0,01",0,0,0,0,0,0,0,0,"0,01",0
2025,1,B,CARCHI,MIRA,10,0,0,0,0,8,0,0,0,10,8
2025,1,B,CARCHI,TULCAN,"1159,28",0,0,"1081,57","1582817,66","391024,19","302832,1",0,"16815,37","1583976,94","710671,66"
2025,1,B,CHIMBORAZO,CHAMBO,"2703,1",0,0,"2703,1",0,"358,16","65,27",0,0,"2703,1","423,43"
2025,1,B,CHIMBORAZO,GUANO,"40034,11",0,0,"39922,8",0,"12000,78","16226,47",0,0,"40034,11","28227,25"
2025,1,B,COTOPAXI,PANGUA,0,0,0,0,0,880,0,0,0,0,880
2025,1,B,COTOPAXI,SALCEDO,"16103,55",0,0,"13705,89",0,"19030,49",666,0,0,"16103,55","19696,49"
2025,1,B,COTOPAXI,SIGCHOS,0,0,0,0,0,"60838,59","86479,26",0,0,0,"147317,85"
2025,1,B,EL ORO,HUAQUILLAS,"18824,73",0,0,0,0,"26166,66","963,42",0,0,"18824,73","27130,08"
2025,1,B,EL ORO,MARCABELI,"60723,28",0,0,0,0,"28544,35","2951,5",0,920,"60723,28","32415,85"
2025,1,B,GALAPAGOS,SAN CRISTOBAL,"0,01",0,0,0,0,0,0,0,0,"0,01",0
2025,1,B,GUAYAS,BALAO,0,0,0,0,0,"1447,47",0,0,0,0,"1447,47"
2025,1,B,GUAYAS,DAULE,"445329,06",0,0,"355984,54","2368299,31","950182,72",245104,0,"14993,21","2813628,37","1210279,93"
2025,1,B,GUAYAS,DURAN,35140,0,0,0,0,"51361,78","29307,96",0,0,35140,"80669,74"
2025,1,B,GUAYAS,MILAGRO,50,0,0,0,0,"48,97","13,56",0,0,50,"62,53"
2025,1,B,GUAYAS,NARANJAL,"375,01",0,0,0,0,"34532,83","1197,39",0,0,"375,01","35730,22"
2025,1,B,GUAYAS,PEDRO CARBO,3150,0,0,0,0,"8168,25","206,94",0,0,3150,"8375,19"
2025,1,B,GUAYAS,SAN JACINTO DE YAGUACHI,"367624,07",0,0,"367624,07",0,"156920,54","155739,63",0,2349,"367624,07","315009,17"
2025,1,B,IMBABURA,ANTONIO ANTE,"19789,48",0,0,"18689,48",0,"11411,51","74,86",0,"73,01","19789,48","11559,38"
2025,1,B,LOJA,CELICA,"1500,1",0,0,0,0,1430,67,0,0,"1500,1",1497
2025,1,B,LOJA,CHAGUARPAMBA,0,0,0,0,0,"12,92",0,0,0,0,"12,92"
2025,1,B,LOS RIOS,QUEVEDO,"4602,48",0,0,0,0,0,"1870,2",0,0,"4602,48","1870,2"
2025,1,B,MANABI,PEDERNALES,0,0,0,0,0,"155,07",0,0,0,0,"155,07"
2025,1,B,MANABI,SUCRE,47679,0,0,"30689,89",0,"12122,2","3907,28",0,"2432,45",47679,"18461,93"
2025,1,B,MORONA SANTIAGO,SUCUA,"0,01",0,0,0,0,100,0,0,0,"0,01",100
2025,1,B,NAPO,ARCHIDONA,"660,31",0,0,0,0,"16336,8","1124,44",0,0,"660,31","17461,24"
2025,1,B,NAPO,CARLOS JULIO AROSEMENA TOLA,"0,01",0,0,0,0,"5797,9","20872,85",0,0,"0,01","26670,75"
2025,1,B,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,0,0,0,0,0,"168,1","14,6",0,0,0,"182,7"
2025,1,B,SUCUMBIOS,GONZALO PIZARRO,16800,0,0,0,0,"526,69",0,0,0,16800,"526,69"
2025,1,B,SUCUMBIOS,PUTUMAYO,"1165,5",0,0,0,0,"4081,63","1186,06",0,0,"1165,5","5267,69"
2025,1,B,TUNGURAHUA,BAÑOS DE AGUA SANTA,"276,19",0,0,"276,19",0,"899,94","111,17",0,0,"276,19","1011,11"
2025,1,B,ZAMORA CHINCHIPE,PALANDA,2852,0,0,0,0,"156672,38","52661,28",0,0,2852,"209333,66"
2025,1,B,ZAMORA CHINCHIPE,YACUAMBI,"7603,18",0,0,0,0,"6148,08","384,42",0,0,"7603,18","6532,5"
2025,1,C,AZUAY,EL PAN,5,0,0,0,0,"240,18","396,19",0,0,5,"636,37"
2025,1,C,AZUAY,SEVILLA DE ORO,0,0,0,0,0,"454,56",0,0,0,0,"454,56"
2025,1,C,CAÑAR,SUSCAL,20,0,0,0,0,0,0,0,0,20,0
2025,1,C,EL ORO,ATAHUALPA,"701,44",0,0,0,0,"1358,05",0,0,0,"701,44","1358,05"
2025,1,C,EL ORO,CHILLA,"514,75",0,0,0,0,"20,35","84,96",0,0,"514,75","105,31"
2025,1,C,EL ORO,LAS LAJAS,0,0,0,0,0,"28659,95",35,0,0,0,"28694,95"
2025,1,C,SUCUMBIOS,SUCUMBIOS,"0,02",0,0,0,0,"0,01","241,96",0,0,"0,02","241,97"
2025,1,D,AZUAY,GIRON,0,0,0,0,0,"2073,53",0,0,0,0,"2073,53"
2025,1,D,AZUAY,GUALACEO,28555,0,0,0,0,"11080,26","201,99",0,185,28555,"11467,25"
2025,1,D,AZUAY,SANTA ISABEL,"0,01",0,0,0,0,995,138,0,0,"0,01",1133
2025,1,D,BOLIVAR,GUARANDA,"4878,15",0,0,0,0,"1206,57",0,0,4000,"4878,15","5206,57"
2025,1,D,CAÑAR,LA TRONCAL,593,0,0,0,0,"244,55",0,0,0,593,"244,55"
2025,1,D,CARCHI,MONTUFAR,10,0,0,0,0,0,0,0,0,10,0
2025,1,D,CARCHI,SAN PEDRO DE HUACA,0,0,0,0,0,"242,43","848,61",0,0,0,"1091,04"
2025,1,D,CHIMBORAZO,COLTA,5000,0,0,0,0,"187,01",0,0,0,5000,"187,01"
2025,1,D,EL ORO,ARENILLAS,"1603,38",0,0,0,0,"3036,8","675,5",0,0,"1603,38","3712,3"
2025,1,D,EL ORO,EL GUABO,0,0,0,0,0,"1049,89",0,0,0,0,"1049,89"
2025,1,D,EL ORO,PASAJE,0,0,0,0,0,"4470,88",26,0,0,0,"4496,88"
2025,1,D,EL ORO,PIÑAS,10,0,0,0,0,0,0,0,0,10,0
2025,1,D,ESMERALDAS,ELOY ALFARO,"0,01",0,0,0,0,0,0,0,0,"0,01",0
2025,1,D,ESMERALDAS,MUISNE,"2887,06",0,0,0,0,"2714,55",0,0,0,"2887,06","2714,55"
2025,1,D,ESMERALDAS,QUININDE,"290,87",0,0,0,0,"6532,23","1232,45",0,"143,9","290,87","7908,58"
2025,1,D,GALAPAGOS,SANTA CRUZ,2778,0,0,0,0,"248,9",150,0,860,2778,"1258,9"
2025,1,D,GUAYAS,BALZAR,"0,01",0,0,0,0,0,0,0,0,"0,01",0
